Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Sutton Park,711.0,0.0,0.0,0.0,0.0,0.0,0.0
Swanson,699.0,0.0,7.0,3.0,0.0,66.0,27.0
Swanson Rural,750.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylvia Park,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Symonds Street,3147.0,0.0,0.0,0.0,0.0,0.0,0.0
Takanini,3366.0,0.0,92.0,19.0,8.0,1823.0,337.0
Takanini Industrial,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Takapuna,3558.0,0.0,27.0,1.0,3.0,153.0,32.0
Tamakae,960.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamaki,1167.0,0.0,15.0,5.0,0.0,90.0,71.0
Taupaki,525.0,0.0,0.0,1.0,0.0,5.0,6.0
Tawharanui Peninsula,783.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Atatu Peninsula,4353.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Atatu-Central,1353.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Atatu-Edmonton,1221.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Atatu-McLeod,2220.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Kuru,792.0,0.0,0.0,0.0,0.0,0.0,0.0
Te Papapa,1128.0,0.0,10.0,6.0,1.0,107.0,61.0
Te Puru,972.0,0.0,0.0,0.0,0.0,0.0,0.0
The Gardens,1107.0,0.0,0.0,0.0,0.0,0.0,0.0
The Strand,450.0,0.0,0.0,0.0,0.0,0.0,0.0
Three Kings,1206.0,0.0,0.0,0.0,0.0,0.0,0.0
Tindalls-Matakatia,723.0,0.0,0.0,0.0,0.0,0.0,0.0
Titirangi,1404.0,0.0,7.0,3.0,0.0,48.0,19.0
Torbay,1524.0,1.0,5.0,4.0,0.0,36.0,12.0
Totara Heights,741.0,0.0,8.0,4.0,1.0,88.0,36.0
Totara Vale,2220.0,0.0,0.0,0.0,0.0,0.0,0.0
Turanga,972.0,0.0,3.0,0.0,2.0,15.0,19.0
Tuscany Heights,399.0,0.0,0.0,0.0,0.0,0.0,0.0
Unsworth Heights,1860.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Park,981.0,0.0,0.0,0.0,0.0,0.0,0.0
Vipond,1113.0,0.0,1.0,0.0,0.0,9.0,4.0
Waiake,1299.0,0.0,2.0,1.0,0.0,21.0,14.0
Waiatarua,735.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiheke,435.0,0.0,0.0,0.0,0.0,0.0,0.0
Waikoukou Valley,555.0,0.0,0.0,0.0,0.0,0.0,0.0
