Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"73 Walters Road, Mount Wellington, Auckland City",560.0,2,1,3,,,0,0,0,1,0,0,0,0,Mount Wellington
"65A Shackleton Road, Mount Eden, Auckland City",800.0,3,1,,,,0,0,0,1,0,0,0,0,Mount Eden
"252 Mount Albert Road, Sandringham, Auckland City",875.0,3,2,,,,0,0,0,1,0,0,0,0,Sandringham
"503/135 Vincent Street, Auckland Central, Auckland City",550.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"1A Kowhatu Road, One Tree Hill, Auckland City",780.0,3,1,,,,0,0,0,1,0,0,0,0,One Tree Hill
"1/74 Walmsley Road, Otahuhu, Auckland City",480.0,2,1,,,,0,0,0,0,0,0,1,0,Otahuhu
"66B Queenstown Road, Onehunga, Auckland City",525.0,2,1,,,,0,0,0,0,0,0,1,0,Onehunga
"2/46 School Road, Morningside, Auckland City",700.0,2,1,1,56m2,,0,0,0,0,0,0,1,0,Morningside
"11/37 Upland Road, Remuera, Auckland City",950.0,3,2,1,,,0,0,0,0,0,1,0,0,Remuera
"137 Quay Street, Auckland Central, Auckland City",580.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"116/77 Halsey Street, Auckland Central, Auckland City",500.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"3 Warwick Avenue, Westmere, Auckland City",1295.0,3,2,2,,,0,0,0,1,0,0,0,0,Westmere
"18 Hobson Street, Auckland Central, Auckland City",550.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"44 Ivanhoe Road, Grey Lynn, Auckland City",750.0,3,2,3,,,0,0,0,1,0,0,0,0,Grey Lynn
"15 Tamora Lane, Avondale, Auckland City",875.0,4,2,1,,,0,0,0,0,0,1,0,0,Avondale
"5/15 Henry Street, Avondale, Auckland City",790.0,3,2,1,,,0,0,0,0,0,1,0,0,Avondale
"58 Margot Street, Epsom, Auckland City",820.0,3,2,2,,,0,0,0,1,0,0,0,0,Epsom
"514/53 Cook Street, Auckland Central, Auckland City",520.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"7K/36 Day Street, Auckland Central, Auckland City",630.0,2,1,1,,,0,1,0,0,0,0,0,0,Auckland Central
"306/1 Kimiora Street, Three Kings, Auckland City",740.0,2,2,1,,,0,1,0,0,0,0,0,0,Three Kings
"9/3 Rocklands Avenue, Mount Eden, Auckland City",530.0,2,1,1,,,0,0,0,0,0,0,1,0,Mount Eden
"26 Trevola Street, New Windsor, Auckland City",760.0,3,2,,,,0,0,0,1,0,0,0,0,New Windsor
"4A Westwood Terrace, Saint Marys Bay, Auckland City",1850.0,5,2,2,,,0,0,0,1,0,0,0,0,Saint Marys Bay
"76 Ronayne Street, Parnell, Auckland City",450.0,1,1,,,,0,0,0,0,1,0,0,0,Parnell
"321 Kohimaramara Rd, St Heliers, Auckland City",1150.0,5,2,2,,,0,0,0,1,0,0,0,0,St Heliers
"4/68 Maskell Street, Saint Heliers, Auckland City",800.0,4,2,,,,0,0,0,1,0,0,0,0,Saint Heliers
"3B/1 Ophir Street, Grey Lynn, Auckland City",695.0,2,1,1,,,0,1,0,0,0,0,0,0,Grey Lynn
"12 Caledonian Place, Blockhouse Bay, Auckland City",640.0,3,1,,,,0,0,0,1,0,0,0,0,Blockhouse Bay
"1/37 Upland Road, Remuera, Auckland City",925.0,3,2,1,1 ensuite,,0,0,0,0,0,1,0,0,Remuera
"4/748 Remuera Road, Remuera, Auckland City",950.0,2,2,1,,,0,0,0,0,0,1,0,0,Remuera
"70 Sale Street, Auckland Central, Auckland City",600.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"1M/94 Dominion Road, Mount Eden, Auckland City",520.0,1,1,,,,0,1,0,0,0,0,0,0,Mount Eden
"C604/176 Broadway, Newmarket, Auckland City",600.0,2,2,1,,,0,1,0,0,0,0,0,0,Newmarket
"30 Bell Road, Remuera, Auckland City",1350.0,4,3,2,,,0,0,0,1,0,0,0,0,Remuera
"10/291 Ellerslie-panmure Highway, Mount Wellington, Auckland City",460.0,1,1,1,,,0,0,0,0,0,0,1,0,Mount Wellington
"602/145 Symonds Street, Eden Terrace, Auckland City",700.0,1,1,,,,1,1,0,0,0,0,0,0,Eden Terrace
"72 Nelson Street, Auckland Central, Auckland City",475.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"62 Olsen Avenue, Hillsborough, Auckland City",700.0,3,2,,1 ensuite,,0,0,0,1,0,0,0,0,Hillsborough
"72 Bassett Road, Remuera, Auckland City",1000.0,3,1,,,,0,0,0,1,0,0,0,0,Remuera
"40B Lewis Street, Blockhouse Bay, Auckland City",995.0,4,3,3,,,0,0,0,1,0,0,0,0,Blockhouse Bay
